,Category Rank,Name,NOC,NOC.1,Country,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Unnamed: 12,Event,Division,Class
0,1,BARBY Stuart,,197,Penicuik A,289,1,284,4,573,35,23,,RM,R,M
1,2,RANDALL Andrew,,1035,Derwent B,281,5,289,1,570,35,21,,RM,R,M
2,3,GRAY Marc,,421,Forest of Bere B,287,2,283,6,570,35,20,,RM,R,M
3,4,FARROW Mark,,827,C of Scorton A,283,4,287,2,570,32,26,,RM,R,M
4,5,SUTHERLAND Gavin,,214,Worthing AC,281,6,286,3,567,33,21,,RM,R,M
5,6,NESBITT Mark,,1297,Ballyvally A,279,13,284,4,563,27,29,,RM,R,M
6,7,SHREEVES Andrew,,532,Clophill AC,280,8,282,10,562,31,22,,RM,R,M
7,8,FISHER Jamie,,279,Fakenham B,279,12,283,9,562,28,26,,RM,R,M
8,9,PRIOR John,,618,Supermarine B,284,3,277,16,561,30,22,,RM,R,M
9,10,HARDING George,,1267,Nottingham Uni AC,278,15,282,11,560,28,24,,RM,R,M
10,11,WHITE Richard,,2001,Merlin A,280,10,279,15,559,26,27,,RM,R,M
11,12,TURNBULL Ewan,,948,Sellafield AC,275,22,283,7,558,30,20,,RM,R,M
12,13,BUNKER Simon,,498,Newport Pagnell A,275,25,283,7,558,27,25,,RM,R,M
13,14,EVANS Sean,,568,Cheltenham A,277,20,281,13,558,25,28,,RM,R,M
14,15,JAMES Peter,,731,Meriden AC,281,6,276,18,557,29,23,,RM,R,M
15,16,CONVERY Alan,,1297,Ballyvally A,278,14,276,19,554,27,21,,RM,R,M
16,17,JAMIESON Scott,,472,Oakfield A,277,18,276,19,553,24,26,,RM,R,M
17,18,FORRESTER Mark,,142,Clyde Arrows,274,27,279,14,553,23,29,,RM,R,M
18,19,RHODES Shaun,,531,Dunstable B,277,17,274,26,551,24,23,,RM,R,M
19,20,LIPINS Jevgenijs,,277,Kings Lynn B,277,16,273,30,550,22,28,,RM,R,M
20,21,JONES Huw,,515,B of Warfield,279,11,270,38,549,24,30,,RM,R,M
21,22,SMITH Mark,,547,Bath Archers,275,23,274,24,549,24,24,,RM,R,M
22,23,CROSS Wayne,,288,Ruislip B,277,18,272,31,549,23,24,,RM,R,M
23,24,ZSIGA Gyorgy,,1741,Long Buckby AC,274,29,275,21,549,21,28,,RM,R,M
24,25,SYMMONDS Mat,,1654,Blandy-Jenkins A,272,35,276,17,548,26,18,,RM,R,M
25,26,NOWICKI Matthew,,203,Edinburgh Uni AC,275,24,273,29,548,22,27,,RM,R,M
26,27,ROWBOTHAM Erik,,203,Edinburgh Uni AC,274,27,274,25,548,21,28,,RM,R,M
27,28,MONTGOMERY James,,660,Exmouth A,271,36,274,23,545,25,25,,RM,R,M
28,29,BRYANT Jack,,739,Uni of Birmingham AC,273,30,272,31,545,22,24,,RM,R,M
29,30,DUNCAN Tom,,526,B of Burleigh,263,51,282,12,545,18,32,,RM,R,M
30,31,POVEY Paul,,1035,Derwent B,270,39,273,28,543,23,22,,RM,R,M
31,32,MORGAN Ashe,,568,Cheltenham A,276,21,266,52,542,15,34,SO,RM,R,M
32,33,DURHAM Mike,,287,Greenwood Osterley AC,271,37,271,36,542,20,25,SO,RM,R,M
33,34,BIRD Sam,,408,Southampton Uni AC,273,30,267,46,540,25,19,,RM,R,M
34,35,EDWARDS Dean,,983,Wellingborough OAC,270,40,269,39,539,21,23,,RM,R,M
35,36,JENKINS Nigel,,1654,Blandy-Jenkins A,272,34,264,55,536,19,22,,RM,R,M
36,37,FORSTER David,,437,Nene B,273,30,263,58,536,17,26,,RM,R,M
37,38,HARRIS Ian,,458,Mayflower A,268,43,266,49,534,16,26,,RM,R,M
38,39,BRUCE John,,277,Kings Lynn B,274,26,259,65,533,24,19,,RM,R,M
39,40,KOZUBIK Ladislav,,301,Aquarius AC,271,38,262,62,533,17,29,,RM,R,M
40,41,LYON Nigel,,645,Lacetown A,265,47,268,44,533,17,27,,RM,R,M
41,42,PINDER Danny,,57,Radnor Foresters,266,44,267,47,533,17,26,,RM,R,M
42,43,LOWE Peter,,731,Meriden AC,259,62,274,27,533,15,28,,RM,R,M
43,44,RENOUF Mark,,1708,Gordano Valley A,261,53,271,35,532,20,19,,RM,R,M
44,45,HOLT Warren,,862,Chorley B,263,50,269,42,532,16,24,,RM,R,M
45,46,SOMERS Andrew,,1599,Cambridge Uni Alumni,269,41,262,60,531,23,22,,RM,R,M
46,47,PINNELLS Michael,,430,AC Delco B,268,42,263,59,531,19,20,,RM,R,M
47,48,MCCOUBREY Jason,,428,Alton & Four Marks,259,62,272,31,531,18,21,,RM,R,M
48,49,EDGAR Jonty,,366,Abbey B (Herts),266,45,264,54,530,18,21,,RM,R,M
49,50,WOOD-EDENS Stuart,,731,Meriden AC,260,56,268,43,528,21,19,,RM,R,M
50,51,HICKSON Alex,,1342,Bath Uni AC,261,54,267,45,528,18,19,,RM,R,M
51,52,PATTON Stuart,,41,Muckmore C of A,259,60,269,41,528,16,24,,RM,R,M
52,53,SARTAN Stuart,,461,Racketts AC,265,46,262,61,527,17,21,,RM,R,M
53,54,LANGE David,,203,Edinburgh Uni AC,261,52,266,51,527,15,23,,RM,R,M
54,55,SLATER Kieran,,575,B of Minchinhampton,251,75,275,22,526,14,32,,RM,R,M
55,56,LOCHMAN Petr,,301,Aquarius AC,260,57,266,50,526,14,25,,RM,R,M
56,57,CROFT Glen,,1037,Burton Bridge A,255,69,271,37,526,12,28,,RM,R,M
57,58,BOND Grant,,951,Kendal B,264,48,261,63,525,28,21,,RM,R,M
58,59,CASTLE Tom,,KNI,Knights Archers,256,68,269,40,525,20,20,,RM,R,M
59,60,BALL Glyn,,36,Lough Cuan B,259,59,266,48,525,19,23,,RM,R,M
60,61,FOSTER Michael,,907,Cleadon A,258,65,263,57,521,19,21,,RM,R,M
61,62,DEVLIN Andrew,,472,Oakfield A,257,67,264,56,521,11,32,,RM,R,M
62,63,MOYDEN Roy,,788,Audco A,258,66,258,67,516,14,20,,RM,R,M
63,64,SEDLACEK Petr,,690,Saints & Sinners B,259,64,257,69,516,10,28,,RM,R,M
64,65,PINDER Paul,,57,Radnor Foresters,263,49,252,71,515,11,32,,RM,R,M
65,66,VICK Jacob,,731,Meriden AC,260,55,254,70,514,14,23,,RM,R,M
66,67,JARDINE Douglas,,203,Edinburgh Uni AC,254,70,259,66,513,21,15,,RM,R,M
67,68,CARR James,,618,Supermarine B,252,74,260,64,512,16,21,,RM,R,M
68,69,FARROW Simon,,1355,Taverham A,259,60,252,72,511,10,23,,RM,R,M
69,70,TOWNSEND Elliott,,427,Andover A,252,72,258,68,510,14,20,,RM,R,M
70,71,MORGAN Darryl,,412,Portsdown AC,273,30,233,83,506,20,19,,RM,R,M
71,72,CHARTER Kevin,,1508,Parkfield A,260,58,244,75,504,9,29,,RM,R,M
72,73,SMITH Roger,,692,Redhill A,238,90,265,53,503,17,16,,RM,R,M
73,74,GROUND Joe,,1673,Thorpe Hamlet,248,78,248,73,496,14,17,,RM,R,M
74,75,ROSENBAUM Trent,,1200,Shenley & Loughton Tox,253,71,241,79,494,14,14,,RM,R,M
75,76,JOHNSON Steven,,739,Uni of Birmingham AC,244,84,248,74,492,10,18,,RM,R,M
76,77,SARTAN Adam,,461,Racketts AC,247,80,242,78,489,12,18,,RM,R,M
77,78,GREEN Barry,,419,Gosport B,251,76,233,85,484,6,15,,RM,R,M
78,79,CASSIDY Kevin,,421,Forest of Bere B,249,77,233,84,482,12,23,,RM,R,M
79,80,HIDDERLEY Adam,,941,Alsager C of A,246,82,235,81,481,8,23,,RM,R,M
80,81,BLISS Matthew,,207,Bayeux B,241,88,237,80,478,9,14,,RM,R,M
81,82,CHARTER Matthew,,1747,Uni of Derby AC,245,83,232,86,477,13,17,,RM,R,M
82,83,SKIPPER Chris,,408,Southampton Uni AC,247,80,230,87,477,8,18,,RM,R,M
83,84,ELLIS David,,788,Audco A,242,86,234,82,476,14,14,,RM,R,M
84,85,HOWELL James,,458,Mayflower A,232,91,244,76,476,9,20,,RM,R,M
85,86,BEER Peter,,788,Audco A,252,73,221,92,473,15,16,,RM,R,M
86,87,SMITH Alex,,943,North Cheshire B,244,85,229,88,473,8,15,,RM,R,M
87,88,WILLIAMS Hugh,,1035,Derwent B,247,79,223,91,470,10,18,,RM,R,M
88,89,CRAWFORD Zac,,1002,Welland Valley A,217,95,243,77,460,7,16,,RM,R,M
89,90,HOLT Neil,,1750,Brize Norton A,225,92,225,89,450,7,12,,RM,R,M
90,91,SPENCER Mr,,0,None,239,89,206,97,445,7,12,,RM,R,M
91,92,KEIR Fraser,,204,Edinburgh Uni AC (Students),242,87,194,101,436,5,21,,RM,R,M
92,93,COUSINS David,,1520,Pastures C of A,207,100,224,90,431,6,16,,RM,R,M
93,94,EVANS Chris,,1020,B of Charnwood,212,97,219,93,431,6,12,,RM,R,M
94,95,BROOKES Paul,,0,None,218,94,211,95,429,11,11,,RM,R,M
95,96,MELLING Andy,,1908,Clements B,208,99,203,100,411,7,13,,RM,R,M
96,97,LEMON Craig,,689,Severn A,204,102,205,98,409,9,9,,RM,R,M
97,98,SWORDS Steven,,0,None,223,93,185,103,408,7,12,,RM,R,M
98,99,BUNKER William,,498,Newport Pagnell A,189,104,211,94,400,12,13,,RM,R,M
99,100,REDRUP Robbie,,0,None,216,96,181,105,397,7,11,,RM,R,M
100,101,WHYBROW Bill,,1908,Clements B,210,98,186,102,396,4,10,,RM,R,M
101,102,LEE Jamie,,281,Norwich C of A,187,105,203,99,390,6,10,,RM,R,M
102,103,KENDRICK Ryan,,763,Lichfield C of A,182,106,207,96,389,3,13,,RM,R,M
103,104,NEWELL Mike,,0,None,205,101,184,104,389,2,18,,RM,R,M
104,105,MORETON Jase,,1412,RAF Brampton/Wyton AC,200,103,180,106,380,7,8,,RM,R,M
105,106,COUSINS Ben,,1520,Pastures C of A,154,108,135,107,289,2,9,,RM,R,M
