,Category Rank,Athlete,Country Code,Country Code.1,Country,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Event,Division,Class,Unnamed: 12,Unnamed: 13
0,1,GODFREY Laurence,,570,Cleve A,294,1,284,7,578,47,12,RM,R,M,,
1,2,SMITH Alex,,268,Oxford Uni C of A,291,2,286,3,577,41,15,RM,R,M,,
2,3,GEENES Colin,,731,Meriden AC,290,3,285,5,575,39,17,RM,R,M,,
3,4,EVANS Sean,,568,Cheltenham A,288,4,286,4,574,35,24,RM,R,M,,
4,5,HUSTON Patrick,,2201,East Belfast AC,282,14,289,1,571,35,21,RM,R,M,,
5,6,BARBY Stuart,,2352,Edinburgh Uni Archery Pro,286,6,284,8,570,35,21,RM,R,M,,
6,7,SUTHERLAND Gavin,,214,Worthing AC,286,5,283,12,569,36,19,RM,R,M,,
7,8,HALL Tom,,717,Uni of Warwick,286,7,282,15,568,31,26,RM,R,M,,
8,9,JUDD Michael,,458,Mayflower A,280,21,287,2,567,32,24,RM,R,M,,
9,10,KENT Steve,,1775,Sutton B AC,283,10,283,10,566,33,20,RM,R,M,,
10,11,DONALDSON Morgan,,907,Cleadon A,281,18,285,6,566,31,25,RM,R,M,,
11,12,ROWBOTHAM Erik,,1311,Edinburgh Uni Alumni AC,283,9,281,17,564,33,19,RM,R,M,,
12,13,HURBAN Vladimir,,1311,Edinburgh Uni Alumni AC,282,14,281,18,563,27,29,RM,R,M,,
13,14,DEAK Gergo,,227,County Oak AC,282,14,280,19,562,30,23,RM,R,M,,
14,15,NESBITT Mark,,1297,Ballyvally A,279,22,282,14,561,26,29,RM,R,M,,
15,16,TIMMINS David,,272,Oxford A,277,26,282,13,559,30,22,RM,R,M,,
16,17,NAIRN Thomas,,941,Alsager C of A,282,13,277,28,559,27,25,RM,R,M,,
17,18,CROSS Wayne,,288,Ruislip B,283,11,275,40,558,26,27,RM,R,M,,
18,19,TATE Jonathan,,474,Clacton A,280,20,278,24,558,25,28,RM,R,M,,
19,20,WATERWORTH Harrison,,90,Gwynedd B,281,17,276,29,557,28,23,RM,R,M,,
20,21,COVENEY Arthur,,1010,Loughborough Students AC,280,19,276,29,556,31,16,RM,R,M,,
21,22,TITTENSOR Paul,,881,Eccles AC,275,30,281,16,556,27,25,RM,R,M,,
22,23,ALEXANDER Malcolm,,119,Links A,278,23,277,25,555,28,22,RM,R,M,,
23,24,MASEFIELD Jack,,763,Lichfield A,276,29,279,21,555,22,31,RM,R,M,,
24,25,HALL Conor,,36,Lough Cuan B,282,12,272,47,554,27,22,RM,R,M,,
25,26,HOWSE Thomas,,1246,Deer Park A Ltd,285,8,268,65,553,24,28,RM,R,M,,
26,27,MORGAN Ashe,,567,Cheltenham Junior A,277,25,275,38,552,29,18,RM,R,M,,
27,28,EVANS Luke,,1528,Lugg Valley CoA,274,34,278,23,552,25,21,RM,R,M,,
28,29,CAINE Andy,,414,Old Basing A,275,30,276,29,551,30,18,RM,R,M,,
29,30,WINFIELD David,,515,B of Warfield,276,28,275,35,551,28,24,RM,R,M,,
30,31,DYKE Jonathan,,79,Llantarnam AC,271,40,279,20,550,30,20,RM,R,M,,
31,32,BODY Alex,,1976,West Essex Junior B,274,35,276,29,550,25,20,RM,R,M,,
32,33,MACFADYEN Stewart-Lee,,1,Archery GB,278,23,271,52,549,22,26,RM,R,M,,
33,34,PARRIS Jon,,938,B of Bruntwood,265,68,283,9,548,25,24,RM,R,M,,
34,35,WATTS Roy,,246,Woking AC,277,27,271,54,548,20,30,RM,R,M,,
35,36,PRIOR John,,618,Supermarine B,275,30,273,45,548,17,31,RM,R,M,,
36,37,CHARLESWORTH Marc,,1875,Young A of Angmering,271,42,276,29,547,27,18,RM,R,M,,
37,38,PERKINS Louis,,993,Silver Spoon B,264,72,283,10,547,25,19,RM,R,M,,
38,39,CLAY Paul,,694,Malvern A,270,50,277,27,547,24,22,RM,R,M,,
39,40,TOWLE James,,430,A C Delco B,274,36,271,53,545,18,29,RM,R,M,,
40,41,FAIRBURN Joe,,836,Panda B,269,53,276,29,545,13,10,RM,R,M,,
41,42,PINDER Ryan,,57,Radnor Foresters,267,59,277,26,544,24,20,RM,R,M,,
42,43,RELF Jason,,694,Malvern A,272,38,272,47,544,19,29,RM,R,M,,
43,44,GRAY Robert,,962,Welbeck A,275,30,268,60,543,25,21,RM,R,M,,
44,45,GILES Richard,,AGBWO,AGB Wocestershire,271,47,272,50,543,18,29,RM,R,M,,
45,46,LOWE Robert,,731,Meriden AC,271,48,271,51,542,22,28,RM,R,M,,
46,47,LYON Nigel,,645,Lace Town A,273,37,269,59,542,19,26,RM,R,M,,
47,48,STUBBS Simon,,2081,Banbury Cross A,272,39,270,56,542,17,28,RM,R,M,,
48,49,JAMIESON Gilbert,,1261,Balbardie A,266,61,275,37,541,29,20,RM,R,M,,
49,50,REID Jacob,,781,Telford Junior A,271,45,270,57,541,19,25,RM,R,M,,
50,51,GONCALVES Jose,,AGBSY,AGB Surrey,266,64,274,42,540,17,26,RM,R,M,,
51,52,SUTTON Paul,,881,Eccles AC,263,77,275,36,538,22,17,RM,R,M,,
52,53,MCDERMOTT Edward,,2389,Ramsey Ravens AC,265,66,273,43,538,21,23,RM,R,M,,
53,54,HYNDS Frank,,142,Clyde Arrows,270,50,268,62,538,21,21,RM,R,M,,
54,55,PHILLIPS David,,79,Llantarnam AC,266,65,272,49,538,8,17,RM,R,M,,
55,56,BOTTLE Chris,,1528,Lugg Valley CoA,271,49,267,68,538,8,13,RM,R,M,,
56,57,VOBE Ollie,,462,Deben AC,271,41,265,70,536,21,20,RM,R,M,,
57,58,WISE Alex,,2463,B of Walker Juniors,268,57,268,61,536,10,13,RM,R,M,,
58,59,LEESON James,,739,Uni of Birmingham AC,271,44,263,77,534,19,21,RM,R,M,,
59,60,PEDZIWIATR Jacek,,1,Archery GB,258,89,275,38,533,22,17,RM,R,M,,
60,61,CHARLESWORTH Iain,,1293,Arundown AC,266,63,267,66,533,17,23,RM,R,M,,
61,62,AVINS Christopher,,739,Uni of Birmingham AC,264,71,269,58,533,16,29,RM,R,M,,
62,63,MCCLOSKEY Danny,,AGBNI,ArcheryGB Northern Ireland,254,102,278,22,532,21,21,RM,R,M,,
63,64,HOTRABHVANON Sukrit,,1311,Edinburgh Uni Alumni AC,271,43,261,84,532,20,18,RM,R,M,,
64,65,BRYANT Jack,,739,Uni of Birmingham AC,259,83,272,46,531,23,22,RM,R,M,,
65,66,HAVRANEK Stephen,,2115,Perth AC,264,73,267,66,531,17,24,RM,R,M,,
66,67,MAWHINNEY Matthew,,AGBNI,ArcheryGB Northern Ireland,270,52,261,85,531,15,25,RM,R,M,,
67,68,HOLDEN Ryan,,330,Thanet AC,268,56,262,80,530,18,24,RM,R,M,,
68,69,RAMOS Paul,,483,Braintree B,264,75,266,69,530,10,34,RM,R,M,,
69,70,ROGERS Jason,,79,Llantarnam AC,261,81,268,64,529,19,22,RM,R,M,,
70,71,SEEZ David,,197,Penicuik A,264,73,264,74,528,13,28,RM,R,M,,
71,72,MATTHEWS Joseph,,515,B of Warfield,265,67,262,79,527,22,18,RM,R,M,,
72,73,FOSTER Mike,,907,Cleadon A,256,97,270,55,526,16,24,RM,R,M,,
73,74,MOORE Howard,,272,Oxford A,268,54,257,93,525,19,19,RM,R,M,,
74,75,COOPER Jason,,462,Deben AC,257,95,268,63,525,14,23,RM,R,M,,
75,76,RIDES Connor,,758,Stafford Junior A,263,78,261,83,524,12,26,RM,R,M,,
76,77,SEWELL Tony,,465,Tudor A,249,112,274,41,523,19,22,RM,R,M,,
77,78,PATERSON Gareth,,1363,Burton Joyce A,258,90,265,71,523,16,21,RM,R,M,,
78,79,JEFFS James,,717,Uni of Warwick,262,79,261,86,523,13,29,RM,R,M,,
79,80,JACOBS Kevin,,1500,Netherhall A,259,84,263,76,522,18,21,RM,R,M,,
80,81,SPINK Phil,,729,Royal Leamington Spa,258,92,264,73,522,14,22,RM,R,M,,
81,82,PETERS Janos,,1311,Edinburgh Uni Alumni AC,248,113,273,44,521,15,24,RM,R,M,,
82,83,ANSLEY Dug,,2081,Banbury Cross A,267,60,254,102,521,14,27,RM,R,M,,
83,84,THOMPSON Daniel,,938,B of Bruntwood,258,87,262,81,520,16,21,RM,R,M,,
84,85,EMENEY Sonnie,,AGBHP,AGB Hamps,257,94,263,78,520,14,25,RM,R,M,,
85,86,WAKEFIELD David,,603,Chippenham A,256,96,261,82,517,23,15,RM,R,M,,
86,87,HORNE Stephen,,458,Mayflower A,271,46,246,111,517,16,23,RM,R,M,,
87,88,DAY Les,,1141,Thirsk B,262,80,254,101,516,14,22,RM,R,M,,
88,89,BARBIERATO Angelito,,2129,Tenzone B,264,75,251,107,515,10,26,RM,R,M,,
89,90,WILLETTS Paul,,694,Malvern A,259,85,254,100,513,17,18,RM,R,M,,
90,91,MURRAY Neil,,731,Meriden AC,250,111,263,75,513,16,21,RM,R,M,,
91,92,FARR Nigel,,79,Llantarnam AC,255,99,258,90,513,11,24,RM,R,M,,
92,93,DARBYSHIRE Adam,,408,Southampton Uni AC,266,62,246,112,512,15,20,RM,R,M,,
93,94,CARR James,,919,New Century B,258,93,254,103,512,10,26,RM,R,M,,
94,95,LINDLEY Jorge,,717,Uni of Warwick,253,107,259,89,512,9,26,RM,R,M,,
95,96,TROLAN Chris,,731,Meriden AC,246,116,265,71,511,15,22,RM,R,M,,
96,97,BODEN Jacob,,993,Silver Spoon B,251,109,259,87,510,13,17,RM,R,M,,
97,98,HOLMES Timothy,,272,Oxford A,255,100,255,98,510,10,20,RM,R,M,,
98,99,DONALDSON Gary,,907,Cleadon A,256,98,253,105,509,11,20,RM,R,M,,
99,100,PLATT Callum,,1439,Barnstaple AC,254,101,254,104,508,12,28,RM,R,M,,
100,101,BROWN Matthew,,414,Old Basing A,251,110,257,92,508,12,22,RM,R,M,,
101,102,LOBBAN Keith,,121,Shetland AC,253,105,254,99,507,16,16,RM,R,M,,
102,103,REID Chris,,782,Telford A,268,55,239,122,507,13,24,RM,R,M,,
103,104,MACFADYEN Chris,,AGBNI,ArcheryGB Northern Ireland,248,114,259,88,507,12,23,RM,R,M,,
104,105,HODGKINSON Alec,,541,Wells City A,265,69,242,120,507,9,25,RM,R,M,,
105,106,THOMSON Steve,,229,Chichester B,247,115,257,91,504,15,22,RM,R,M,,
106,107,NELMS Simon,,788,The Audco A,254,103,250,108,504,12,19,RM,R,M,,
107,108,BRUCE John,,KLB,Kings Lynn B,242,120,256,95,498,16,20,RM,R,M,,
108,109,MCGAHEY David,,AGBNI,ArcheryGB Northern Ireland,258,90,238,123,496,14,16,RM,R,M,,
109,110,BEER Peter,,788,The Audco A,259,86,236,126,495,6,10,RM,R,M,,
110,111,SUMNER Mark,,2362,RAF Waddington AC,260,82,234,128,494,13,20,RM,R,M,,
111,112,FEWZ Tom,,1141,Thirsk B,253,106,241,121,494,12,18,RM,R,M,,
112,113,PURBRICK Mark,,788,The Audco A,258,87,234,130,492,13,17,RM,R,M,,
113,114,GARRATT Neill,,692,Redhill A,235,129,257,94,492,10,24,RM,R,M,,
114,115,THOMAS-PRAUSE Gareth,,207,Bayeux B,254,104,237,124,491,10,20,RM,R,M,,
115,116,CARLOTTA PATRICELLI Fabricio,,630,Newquay B,236,127,253,106,489,9,18,RM,R,M,,
116,117,BERTI Francis,,739,Uni of Birmingham AC,243,118,245,113,488,12,17,RM,R,M,,
117,118,KELLY John,,527,Harlequin B,252,108,235,127,487,14,16,RM,R,M,,
118,119,DONALDSON Cameron,,907,Cleadon A,243,119,244,114,487,10,24,RM,R,M,,
119,120,PARSONS Keith,,575,B of Minchinhampton,239,124,247,110,486,11,20,RM,R,M,,
120,121,VALLANCE Anthony,,729,Royal Leamington Spa,241,121,242,119,483,7,15,RM,R,M,,
121,122,LAPUZ Jason,,314,Enfield A,225,135,256,96,481,9,19,RM,R,M,,
122,123,SMITH Andrew,,1,Archery GB,225,134,256,97,481,7,23,RM,R,M,,
123,124,BAILDON Paul,,575,B of Minchinhampton,236,125,243,117,479,13,16,RM,R,M,,
124,125,WILKINSON Gareth,,AGBNI,ArcheryGB Northern Ireland,235,130,244,116,479,8,20,RM,R,M,,
125,126,WILLIAMS David,,2356,Dark Side A,240,122,236,125,476,18,15,RM,R,M,,
