,Category Rank,Athlete,Country Code,Country Code.1,Country or State Code,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Unnamed: 12,Unnamed: 13,Event,Division,Class
0,1,SUSCA Thomas,,938,B of Bruntwood,292,2,293,3,585,46,13,,,RM,R,M
1,2,NESBITT Mark,,1297,Ballyvally A Banbridge,291,3,292,4,583,46,11,,,RM,R,M
2,3,DONALDSON Morgan,,907,Cleadon A,288,6,295,1,583,43,17,,,RM,R,M
3,4,HALL Tom,,717,Uni of Warwick,293,1,289,9,582,43,16,,,RM,R,M
4,5,REID Jacob,,782,Allscott Heath A,290,5,291,5,581,42,17,,,RM,R,M
5,6,JUDD Michael,,458,Mayflower A,283,13,295,1,578,40,19,,,RM,R,M
6,7,TIMMINS David,,272,Oxford A,291,4,284,13,575,40,15,,,RM,R,M
7,8,WOOD Antony,,262,C M O B,287,8,287,10,574,35,24,,,RM,R,M
8,9,WHITE Richard,,263,Chessington B,284,10,289,7,573,36,21,,,RM,R,M
9,10,JAMIESON Gilbert,,1261,Balbardie A,288,6,284,14,572,35,23,,,RM,R,M
10,11,WISE Alex,,908,B of Walker,284,9,286,12,570,35,20,,,RM,R,M
11,12,HARDING Keith,,2200,Clickers A.C.,279,24,289,7,568,33,23,,,RM,R,M
12,13,IP Sherman,,717,Uni of Warwick,283,11,284,16,567,33,21,,,RM,R,M
13,14,HYNDS Frank,,142,Clyde Arrows,283,12,282,17,565,33,19,,,RM,R,M
14,15,HOLDEN Ryan,,AGB,Archery GB,277,28,287,10,564,32,21,,,RM,R,M
15,16,PRIOR John,,618,Supermarine B,280,19,284,15,564,30,25,,,RM,R,M
16,17,PINDER Ryan,,57,Radnor Foresters,272,40,290,6,562,37,16,,,RM,R,M
17,18,BERTI Francis,,AGB,Archery GB,282,15,279,21,561,32,17,,,RM,R,M
18,19,DONALDSON Cameron,,907,Cleadon A,279,23,282,20,561,27,27,,,RM,R,M
19,20,SPENCER-NICE Riley,,1246,Deer Park A Ltd,283,14,277,29,560,27,26,,,RM,R,M
20,21,LEDWICK Hayden,,2571,Eagle Bowman of Bedford,277,28,282,17,559,30,20,,,RM,R,M
21,22,LESSIMORE Anthony,,79,Llantarnam A.C.,280,21,278,25,558,25,29,,,RM,R,M
22,23,NAIRN Thomas,,1143,Alsager Junior A,281,16,276,30,557,30,25,,,RM,R,M
23,24,STANBURY Scott,,AGB,Archery GB,277,26,278,24,555,29,19,,,RM,R,M
24,25,AVINS Chris,,739,Uni of Birmingham AC,273,39,282,19,555,24,28,,,RM,R,M
25,26,JIBRAIL Jason,,2350,Paradox A,275,35,279,22,554,26,24,,,RM,R,M
26,27,PIKE William,,717,Uni of Warwick,278,25,276,32,554,20,34,,,RM,R,M
27,28,PHILLIPS David,,79,Llantarnam A.C.,275,33,278,27,553,23,29,,,RM,R,M
28,29,LEAROYD John,,545,B of Ina,273,37,279,23,552,24,27,,,RM,R,M
29,30,HALL Conor,,739,Uni of Birmingham AC,280,19,271,43,551,29,23,,,RM,R,M
30,31,TRUDGILL Ben,,1014,Kirby Muxloe AC,277,27,274,39,551,24,26,,,RM,R,M
31,32,ALEXANDER Malcolm,,119,Links A,277,30,273,40,550,22,28,SO,T.9,RM,R,M
32,33,ROWE Alex,,1077,Uni of Plymouth,276,32,274,37,550,23,27,SO,T.9,RM,R,M
33,34,TWAROWSKI Michal,,252,Royal Richmond AC,279,22,269,50,548,24,20,,,RM,R,M
34,35,HARGREAVES Ken,,903,Killingworth A,275,36,272,42,547,18,34,,,RM,R,M
35,36,ADAMS Jamie,,515,B of Warfield,280,18,265,59,545,24,28,,,RM,R,M
36,37,HARRISON Ron,,860,Wigan & Orrell A,269,50,276,31,545,20,29,,,RM,R,M
37,38,GREEN Joshua,,2499,UCLan A (Uni),267,53,277,28,544,20,27,,,RM,R,M
38,39,FINLAY Ian,,932,Cheshire County B,281,16,262,67,543,18,29,,,RM,R,M
39,40,RAHMAN Jamal,,739,Uni of Birmingham AC,270,45,272,41,542,25,18,,,RM,R,M
40,41,LERICOLAIS Stephane,,813,Valley B of Huddersfield,268,52,274,38,542,24,24,,,RM,R,M
41,42,TATE Jonathan,,474,Clacton A,275,34,267,57,542,21,23,,,RM,R,M
42,43,TRIPP Joseph,,1077,Uni of Plymouth,266,56,275,36,541,20,25,,,RM,R,M
43,44,HASTIE Timothy,,780,Bowbrook A,272,41,268,54,540,21,21,,,RM,R,M
44,45,DONALDSON Gary,,907,Cleadon A,273,38,265,60,538,20,25,,,RM,R,M
45,46,GEENES Colin,,731,Meriden A.C.,267,55,271,44,538,18,26,,,RM,R,M
46,47,SMITTON Daniel,,374,The Green Dragon B,269,46,268,52,537,24,16,,,RM,R,M
47,48,HARPER Kenneth,,299,B of Harrow,276,31,261,69,537,21,21,,,RM,R,M
48,49,GARDINER Matthew,,1197,Bradford Uni AC,259,71,278,26,537,15,31,,,RM,R,M
49,50,THOMPSON Daniel,,938,B of Bruntwood,261,64,275,33,536,24,23,,,RM,R,M
50,51,HORNE Stephen,,458,Mayflower A,271,43,264,62,535,14,30,,,RM,R,M
51,52,NASH Roy,,938,B of Bruntwood,271,43,264,63,535,13,31,,,RM,R,M
52,53,SPEED Daniel,,967,Beeston Rylands A,259,68,275,35,534,20,25,,,RM,R,M
53,54,COSTANZA Marco,,569,Cleve Juniors,265,58,267,56,532,16,25,,,RM,R,M
54,55,MCINERNEY Kevin,,699,Droitwich Archery Society Limi,269,47,263,64,532,13,31,,,RM,R,M
55,56,COLLIS Dominic,,1457,Uni of London A.C.,263,61,268,53,531,17,24,,,RM,R,M
56,57,THOMAS-PRAUSE Gareth,,210,The High Weald AC,269,48,262,66,531,17,21,,,RM,R,M
57,58,BROWN Matthew,,414,Old Basing A,271,42,259,73,530,21,18,,,RM,R,M
