,Category Rank,Athlete,Country Code,Country Code.1,Country or State Code,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Event,Division,Class,Unnamed: 12
0,1,WISE Alex,,908,Bowmen of Walker,294,1,289,4,583,43,17,RM,R,M,
1,2,PINDER Ryan,,57,Radnor Foresters,287,6,295,1,582,45,12,RM,R,M,
2,3,JUDD Michael,,458,Mayflower Archers,291,3,288,7,579,40,19,RM,R,M,
3,4,WOODGATE James,,246,Woking Archery Club,289,5,289,4,578,39,20,RM,R,M,
4,5,WHITMARSH Austin,,568,Cheltenham Archers,292,2,285,12,577,40,19,RM,R,M,
5,6,HALL Tom,,731,Meriden Archery Club,285,11,292,2,577,39,19,RM,R,M,
6,7,BARBER Tom,,AGBPER,Archery GB,285,9,291,3,576,39,18,RM,R,M,
7,8,HOLDEN Ryan,,330,Thanet AC,284,15,288,7,572,37,18,RM,R,M,
8,9,HALL Conor,,780,Bowbrook Archers,285,9,287,10,572,35,22,RM,R,M,
9,10,NESBITT Mark,,1297,Ballyvally Archers Banbridge,285,11,285,13,570,33,24,RM,R,M,
10,11,PIKE William,,717,University of Warwick,283,17,286,11,569,35,19,RM,R,M,
11,12,HUSTON Patrick,,2201,East Belfast Archery Club,284,14,284,15,568,34,23,RM,R,M,
12,13,WOOD Antony,,262,C M O Bowmen,283,17,285,13,568,34,20,RM,R,M,
13,14,NAIRN Thomas,,1143,Alsager Junior Archers,286,7,282,17,568,33,22,RM,R,M,
14,15,REID Jacob,,782,Allscott Heath Archers,279,30,288,6,567,32,23,RM,R,M,
15,16,IP Sherman,,717,University of Warwick,279,27,287,9,566,34,18,RM,R,M,
16,17,HARDING Keith,,2200,Clickers Archery Club,284,15,282,19,566,33,21,RM,R,M,
17,18,DONALDSON Cameron,,907,Cleadon Archers,290,4,276,36,566,33,20,RM,R,M,
18,19,BUCKNER Richard,,413,Overton Black Arrows,279,27,284,16,563,29,25,RM,R,M,
19,20,MADDISON Will,,2013,Norton Archers,282,19,279,25,561,30,22,RM,R,M,
20,21,SPENCER-NICE Riley,,1246,Deer Park Archers Ltd,282,21,279,26,561,27,27,RM,R,M,
21,22,BARBY Stuart,,200,Pentland Archers,285,13,276,36,561,27,27,RM,R,M,
22,23,ROWE Alex,,1077,University of Plymouth,279,29,281,20,560,30,21,RM,R,M,
23,24,JIBRAIL Jason,,2350,Paradox Archers,280,24,280,22,560,28,25,RM,R,M,
24,25,TRIPP Joseph,,1077,University of Plymouth,285,8,272,43,557,36,13,RM,R,M,
25,26,GARDINER Matthew,,809,York Archers Society,278,32,279,24,557,31,19,RM,R,M,
26,27,TIMMINS David,,272,Oxford Archers,279,30,278,30,557,24,30,RM,R,M,
27,28,PRIOR John,,618,Supermarine Bowmen,280,26,276,35,556,27,25,RM,R,M,
28,29,HYNDS Frank,,142,Clyde Arrows,275,39,281,21,556,25,27,RM,R,M,
29,30,WOODGATE Christopher,,717,University of Warwick,276,37,278,31,554,22,31,RM,R,M,
30,31,AVINS Chris,,739,Uni of Birmingham Archery Club,275,38,278,29,553,28,18,RM,R,M,
31,32,FINLAY Ian,,932,Cheshire County Bowmen,278,32,275,38,553,25,24,RM,R,M,
32,33,TWAROWSKI Michal,,309,London Archers,281,22,271,47,552,28,21,RM,R,M,
33,34,BRAXTON Thomas,,808,Leeds University AC,270,51,282,17,552,26,20,RM,R,M,
34,35,MAC FADDEN Cathal,,2663,Archery Fit London,280,23,272,46,552,25,24,RM,R,M,
35,36,SUSCA Thomas,,938,Bowmen of Bruntwood,274,41,278,31,552,22,30,RM,R,M,
36,37,LEDGERWOOD Thomas,,AGBDAC,Archery GB,272,44,279,26,551,25,23,RM,R,M,
37,38,BODEN Jacob,,AGBLIN,Archery GB,277,34,274,41,551,22,29,RM,R,M,
38,39,NICHOLSON Paul,,2013,Norton Archers,282,20,268,53,550,25,23,RM,R,M,
39,40,KLEIN Michael,,529,Kestrels AC,275,40,273,42,548,20,30,RM,R,M,
40,41,MUNRO Matthew,,2115,Perth Archery Club,267,55,280,23,547,23,30,RM,R,M,
41,42,LOCK Andrew,,1210,Noak Hill Archers,273,42,274,40,547,21,26,RM,R,M,
42,43,CASTILLO-ALQUEZAR Roger,,817,Selby Archers,270,52,277,34,547,18,32,RM,R,M,
43,44,COLLINS Andrew,,1005,The Foxes,276,35,270,49,546,22,24,RM,R,M,
44,45,REES Sam,,2669,Birmingham Barbarians,269,54,277,33,546,21,26,RM,R,M,
45,46,LESSIMORE Anthony,,79,Llantarnam Archery Club,266,60,279,28,545,18,32,RM,R,M,
46,47,THOMAS-PRAUSE Gareth,,210,The High Weald AC,269,53,274,39,543,24,20,RM,R,M,
47,48,MCINERNEY Kevin,,699,Droitwich Archery Society Ltd,271,48,272,45,543,20,25,RM,R,M,
48,49,JAMIESON Gilbert,,1261,Balbardie Archers,276,36,266,55,542,26,26,RM,R,M,
49,50,ORTON Monty,,731,Meriden Archery Club,280,24,261,67,541,21,23,RM,R,M,
50,51,ADAMS Jamie,,515,Bowmen of Warfield,270,49,270,48,540,30,17,RM,R,M,
51,52,ALEXANDER Malcolm,,119,Links Archers,270,50,269,50,539,27,18,RM,R,M,
52,53,LEATHEM Ryan,,36,Lough Cuan Bowmen,271,46,267,54,538,18,27,RM,R,M,
53,54,STANBURY Scott,,AGBDER,Archery GB,272,45,266,57,538,16,27,RM,R,M,
54,55,HORNE Allan,,1210,Noak Hill Archers,262,72,272,44,534,19,20,RM,R,M,
55,56,PHILLIPS David,,79,Llantarnam Archery Club,271,46,262,63,533,22,22,RM,R,M,
56,57,JONES Edwin,,1322,Lethen Archers,264,65,269,51,533,17,25,RM,R,M,
57,58,QUINN Stephen,,1595,Chiltern Archers,261,73,269,52,530,17,22,RM,R,M,
58,59,LAPUZ Jason,,371,The Hertford C of A,264,64,265,60,529,19,19,RM,R,M,
59,60,CHALMERS Alexander,,893,The Gentleman & Lady Archers,273,42,255,81,528,19,24,RM,R,M,
60,61,ANDRIEUX Guillaume,,2644,Glasgow Uni Archery Club,262,70,266,56,528,19,22,RM,R,M,
61,62,BECK Paul,,2627,Peacock Archers,267,56,261,66,528,18,20,RM,R,M,
62,63,HURSHAM Ian,,464,West Essex Bowmen,267,56,261,69,528,16,23,RM,R,M,
63,64,TSANG Gavin,,1373,The Swansea University,265,62,263,62,528,13,24,RM,R,M,
64,65,JUNIPER Kevin,,478,Grays Archers,264,63,262,65,526,15,26,RM,R,M,
65,66,CLAMPIN Ian,,464,West Essex Bowmen,265,61,259,72,524,20,19,RM,R,M,
66,67,COATES David,,817,Selby Archers,262,68,261,68,523,19,18,RM,R,M,
67,68,STEPHENSON Oliver,,1017,Bowmen of Rutland,258,79,262,64,520,15,20,RM,R,M,
68,69,HIGGINS Chris,,459,Chelmsford Tudor Rose,256,88,263,61,519,13,25,RM,R,M,
69,70,DRAPER Peter,,1718,Wyke Archers,261,74,258,75,519,12,24,RM,R,M,
