,Category Rank,Athlete,Country or State Code,18m-1,18m-2,Score,10,9,Event,Division,Class
0,1,HUSTON Patrick,2201 - East Belfast AC,296/ 1,289/ 5,585,48,11,RM,R,M
1,2,HARDING Keith,2200 - Clickers AC,292/ 3,293/ 2,585,45,15,RM,R,M
2,3,HALL Tom,731 - Meriden AC,292/ 2,289/ 6,581,44,13,RM,R,M
3,4,WOODGATE James,246 - Woking AC,290/ 5,290/ 4,580,44,14,RM,R,M
4,5,ORTON Monty,731 - Meriden AC,286/ 7,292/ 3,578,42,14,RM,R,M
5,6,KENT Stevie,780 - Bowbrook A,285/11,293/ 1,578,40,18,RM,R,M
6,7,WISE Alex,908 - Bowmen of Walker,292/ 3,285/10,577,46,13,RM,R,M
7,8,HALL Conor,780 - Bowbrook A,286/ 8,288/ 7,574,37,20,RM,R,M
8,9,WOOD Antony,272 - Oxford A,283/13,286/ 9,569,34,21,RM,R,M
9,10,TITTENSOR Paul,881 - Eccles AC,285/10,283/14,568,35,20,RM,R,M
10,11,PINDER Ryan,2449 - Caradog A,281/16,287/ 8,568,31,26,RM,R,M
11,12,MEDHURST Charlie,692 - Redhill A,282/14,284/13,566,32,22,RM,R,M
12,13,PIGGOTT Callum,780 - Bowbrook A,284/12,280/18,564,27,30,RM,R,M
13,14,PHILLIPS Jonathan,119 - Links A,281/15,282/16,563,30,25,RM,R,M
14,15,WHITE Richard,263 - Chessington B,281/17,282/17,563,27,29,RM,R,M
15,16,JUDD Michael,458 - Mayflower A,286/ 9,276/23,562,33,24,RM,R,M
16,17,EVANS Benjamin,1010 - Loughborough Students AC (Uni),275/26,285/11,560,27,26,RM,R,M
17,18,ROWE Alex,1077 - University of Plymouth,273/32,283/14,556,9,16,RM,R,M
18,19,DYKE Jonathan,79 - Llantarnam AC,288/ 6,267/44,555,25,27,RM,R,M
19,20,WHITMARSH Austin,568 - Cheltenham A,275/26,279/20,554,24,27,RM,R,M
20,21,TWAROWSKI Michal,309 - London A,279/18,274/27,553,27,21,RM,R,M
21,22,HADFIELD Leigh,921 - Winnington Park B,274/30,279/19,553,27,21,RM,R,M
22,23,STANBURY Scott,AGB DERBY - Derbyshire,278/21,274/28,552,27,24,RM,R,M
23,24,KELLY Stephen,92 - Wrexham B,279/18,273/30,552,25,22,RM,R,M
24,25,COSTANZA Marco,570 - Cleve A,277/22,273/32,550,13,13,RM,R,M
25,26,MACEY Kieran,1246 - Deer Park A LTD,276/23,273/29,549,24,24,RM,R,M
26,27,DOHERTY Jack,35 - City Of Belfast AC,273/32,276/26,549,23,24,RM,R,M
27,28,HOLDEN Ryan,780 - Bowbrook A,263/50,285/12,548,29,20,RM,R,M
28,29,ROWBOTHAM Erik,1311 - Edinburgh University AC Alumni,275/26,272/35,547,19,30,RM,R,M
29,30,PHILLIPS David,79 - Llantarnam AC,266/42,279/22,545,23,24,RM,R,M
30,31,FAIRBURN Joe,2664 - Wharfe Valley A,273/32,272/37,545,15,35,RM,R,M
31,32,RADIGAN Cameron,173 - Ayr AC,271/37,272/36,543,19,27,RM,R,M
32,33,WOOD-EDENS Stuart,731 - Meriden AC,263/51,279/21,542,26,22,RM,R,M
33,34,JIBRAIL Jason,2350 - Paradox A,270/38,272/33,542,20,25,RM,R,M
34,34,TRUDGILL Ben,1014 - Kirby Muxloe AC,279/18,263/52,542,20,25,RM,R,M
35,36,HINCKLEY Phil,780 - Bowbrook A,272/36,269/39,541,22,20,RM,R,M
36,37,BLACK Will,2373 - University of Bristol Archery,275/25,265/47,540,11,13,RM,R,M
37,38,LOCK Andrew,1210 - Noak Hill A,266/44,273/31,539,17,26,RM,R,M
38,39,ALEXANDER Malcolm,119 - Links A,262/54,276/24,538,22,17,RM,R,M
39,40,SIMPSON Colin,515 - Bowmen of Warfield,262/53,276/25,538,21,22,RM,R,M
40,41,HYNDS Frank,142 - Clyde Arrows,273/32,265/47,538,17,27,RM,R,M
41,42,GREEN Ben,225 - Ditchling AC,275/24,262/54,537,20,23,RM,R,M
