,Category Rank,Athlete,Country Code,Country Code.1,Country,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Unnamed: 12,Unnamed: 13,Event,Division,Class
0,1,HAN Jaeyeop,,KOR,Korea,300,1,298,2,598,58,2,,,RM,R,M
1,2,KU Bonchan,,KOR,Korea,298,2,299,1,597,57,3,,,RM,R,M
2,3,LEE Seungyun,,KOR,Korea,298,2,298,2,596,56,4,,,RM,R,M
3,4,VAN DEN BERG Sjef,,NED,Netherlands,298,2,295,11,593,53,7,,,RM,R,M
4,5,ELLISON Brady,,USA,USA,296,7,297,4,593,53,7,,,RM,R,M
5,6,WIJLER Steve,,NED,Netherlands,295,11,297,4,592,53,6,,,RM,R,M
6,7,GYE Dong Hyun,,KOR,Korea,297,5,295,11,592,52,8,,,RM,R,M
7,8,CHIRAULT Thomas,,FRA,France,295,12,296,10,591,51,9,,,RM,R,M
8,9,WIESER Felix,,GER,Germany,294,16,297,4,591,51,9,,,RM,R,M
9,10,OH Jin Hyek,,KOR,Korea,297,5,293,15,590,51,8,,,RM,R,M
10,11,MIN Byeongyeon,,KOR,Korea,295,12,295,11,590,50,10,,,RM,R,M
11,12,MANDIA Massimiliano,,ITA,Italy,293,18,297,4,590,50,10,,,RM,R,M
12,13,HALL Tom,,GBR,Great Britain,291,26,297,4,588,49,10,,,RM,R,M
13,14,RUBAN Viktor,,UKR,Ukraine,295,12,293,15,588,49,10,,,RM,R,M
14,15,VAN DER VEN Rick,,NED,Netherlands,296,7,292,22,588,49,10,,,RM,R,M
15,16,HUSTON Patrick,,GBR,Great Britain,296,7,292,23,588,48,12,,,RM,R,M
16,17,TSYDYPOV Erdem,,RUS,Russia,294,16,293,18,587,47,13,,,RM,R,M
17,18,LISNIAK Vladyslav,,UKR,Ukraine,292,23,294,14,586,24,6,,,RM,R,M
18,19,MORELLO Marco,,ITA,Italy,294,15,291,28,585,46,13,,,RM,R,M
19,20,HUNBIN Oleksii,,UKR,Ukraine,292,23,293,18,585,46,13,,,RM,R,M
20,21,PARK Seongcheol,,KOR,Korea,287,44,297,4,584,45,14,,,RM,R,M
21,22,TSYBIKZHAPOV Aldar,,RUS,Russia,293,18,291,28,584,45,14,,,RM,R,M
22,23,RIEGER Cedric,,GER,Germany,296,7,288,44,584,44,16,,,RM,R,M
23,24,KIM Tae Yang,,KOR,Korea,293,18,291,28,584,44,16,,,RM,R,M
24,25,KIM Bongman,,KOR,Korea,292,25,291,28,583,44,15,,,RM,R,M
25,26,STRAJHAR Gasper,,SLO,Slovenia,293,18,290,35,583,44,15,,,RM,R,M
26,27,JUNG Sung Won,,KOR,Korea,293,18,290,36,583,43,17,,,RM,R,M
27,28,MAKAREVYCH Sergii,,UKR,Ukraine,291,28,292,23,583,43,17,,,RM,R,M
28,29,WILTHAGEN Jonah,,NED,Netherlands,289,30,293,18,582,43,16,,,RM,R,M
29,30,GU Dong Nam,,KOR,Korea,290,29,291,28,581,45,13,,,RM,R,M
30,31,KAHLLUND Florian,,GER,Germany,288,37,293,15,581,43,15,,,RM,R,M
31,32,IVANYTSKYY Heorhiy,,UKR,Ukraine,287,41,293,18,580,44,14,SO,T.10*,RM,R,M
32,33,MOLFESE Fabio,,ITA,Italy,288,36,292,23,580,43,15,SO,T.9,RM,R,M
33,34,HENCKELS Jeff,,LUX,Luxembourg,289,30,291,28,580,40,20,SO,T.10,RM,R,M
34,35,HAVELKO Yuriy,,UKR,Ukraine,286,50,292,23,578,40,18,,,RM,R,M
35,35,PLIHON Pierre,,FRA,France,287,43,291,28,578,40,18,,,RM,R,M
36,37,GARRETT Zach,,USA,USA,286,52,292,23,578,38,22,,,RM,R,M
37,38,BIDAULT Jerome,,FRA,France,291,26,286,52,577,40,17,,,RM,R,M
38,38,FISSORE Matteo,,ITA,Italy,289,30,288,38,577,40,17,,,RM,R,M
39,38,PENA Arnau,,ESP,Spain,289,30,288,38,577,40,17,,,RM,R,M
40,41,MUSOLESI Federico,,ITA,Italy,288,39,289,37,577,37,23,,,RM,R,M
41,42,WISE Alexander,,GBR,Great Britain,289,30,287,50,576,37,22,,,RM,R,M
42,43,ACHA Pablo,,ESP,Spain,288,37,287,47,575,38,19,,,RM,R,M
43,44,SANNA Michael,,FRA,France,286,47,288,41,574,39,17,,,RM,R,M
44,45,KLEIN Pit,,LUX,Luxembourg,286,48,288,41,574,39,16,,,RM,R,M
45,46,VAZIRI TEYMOORLOOEI Milad,,IRI,IR Iran,288,39,286,52,574,36,22,,,RM,R,M
46,47,DONALDSON Morgan,,GBR,Great Britain,286,50,287,45,573,38,18,,,RM,R,M
47,48,ASHRAFI Sadegh,,IRI,IR Iran,285,55,288,41,573,35,23,,,RM,R,M
48,49,KOENIG Thomas,,FRA,France,289,30,284,66,573,33,27,,,RM,R,M
49,50,NAGLIERI Thomas,,FRA,France,287,44,285,55,572,44,12,,,RM,R,M
50,51,DE GRANDIS Jocelyn,,FRA,France,286,49,286,52,572,37,18,,,RM,R,M
51,52,KRAUS Stephane,,FRA,France,285,53,287,51,572,35,22,,,RM,R,M
52,53,DUVAL Sebastien,,FRA,France,286,46,285,56,571,39,15,,,RM,R,M
53,54,POPOV Vitalii,,RUS,Russia,284,56,285,57,569,37,17,,,RM,R,M
54,55,HOMMA Kaoru,,JPN,Japan,281,63,288,40,569,35,19,,,RM,R,M
55,55,LEFRANCOIS Ianis,,FRA,France,285,54,284,61,569,35,19,,,RM,R,M
56,57,ARMBRUSTER Sylvain,,FRA,France,284,59,285,58,569,33,23,,,RM,R,M
57,58,MORILLO Daniel,,ESP,Spain,284,57,284,61,568,36,17,,,RM,R,M
58,59,FABER Florian,,SUI,Switzerland,284,61,284,63,568,32,24,,,RM,R,M
59,59,HERLICQ Sam,,FRA,France,284,59,284,64,568,32,24,,,RM,R,M
60,61,LINDBERG Johan,,SWE,Sweden,284,58,283,69,567,33,21,,,RM,R,M
61,62,HOLDEN Ryan,,GBR,Great Britain,280,67,287,47,567,30,27,,,RM,R,M
62,63,BERANEK Radek,,CZE,Czech Republic,279,69,287,47,566,33,22,,,RM,R,M
63,64,JUDD Michael,,GBR,Great Britain,279,68,285,60,564,34,24,,,RM,R,M
64,65,SERDYUK Oleksandr,,UKR,Ukraine,279,70,285,58,564,30,24,,,RM,R,M
65,66,BOSSARD Florian,,FRA,France,287,42,274,89,561,36,17,,,RM,R,M
66,67,ZOPFMANN Maxime,,FRA,France,277,74,284,64,561,30,22,,,RM,R,M
67,68,TUAL Gaetan,,FRA,France,280,64,281,73,561,29,24,,,RM,R,M
68,69,BLANDIN Thomas,,FRA,France,279,70,280,74,559,14,13,,,RM,R,M
69,70,PICHONNIER Valentin,,FRA,France,281,62,277,82,558,29,22,,,RM,R,M
70,71,CHENEAU Emilien,,FRA,France,280,66,278,77,558,21,36,,,RM,R,M
71,72,BOURAND Olivier,,FRA,France,280,65,277,78,557,27,25,,,RM,R,M
72,73,DECIANTIS Fabio,,ITA,Italy,277,74,280,75,557,27,24,,,RM,R,M
73,74,LIBERT Eric,,FRA,France,272,91,283,70,555,24,28,,,RM,R,M
74,75,FLINK Ludvig,,SWE,Sweden,279,72,275,88,554,21,34,,,RM,R,M
75,76,ANDERSSON Jonathan,,SWE,Sweden,266,105,287,45,553,34,17,,,RM,R,M
76,77,HURBAN JR. Vladimir,,SVK,Slovakia,270,96,283,68,553,26,25,,,RM,R,M
77,78,DELOISON Daniel,,FRA,France,276,79,277,78,553,24,27,,,RM,R,M
78,79,CONSTANS Nicolas,,FRA,France,277,77,275,86,552,25,24,,,RM,R,M
79,80,SCHNEIDER Florent,,FRA,France,278,73,273,93,551,28,21,,,RM,R,M
80,81,AJODHIA Vikash,,NED,Netherlands,269,99,282,71,551,16,10,,,RM,R,M
81,82,KUHRAU Markus,,GER,Germany,268,100,282,72,550,27,24,,,RM,R,M
82,83,RIPAUX Valentin,,FRA,France,273,88,277,83,550,23,26,,,RM,R,M
83,84,DEZANNEAU Patrick,,FRA,France,271,93,279,76,550,19,33,,,RM,R,M
84,85,LAPORTE Vincent,,FRA,France,275,80,274,90,549,27,19,,,RM,R,M
85,86,FAURE Arthur,,FRA,France,272,89,277,81,549,25,23,,,RM,R,M
86,86,RAUL Quiles Garcia,,ESP,Spain,272,90,277,80,549,25,23,,,RM,R,M
87,88,ABDELWAHAB Mahmoud,,SUD,Sudan,277,74,272,98,549,22,27,,,RM,R,M
88,89,DAGES Thierry,,FRA,France,275,81,273,95,548,21,27,,,RM,R,M
89,90,STANBURY Scott,,GBR,Great Britain,275,82,272,97,547,19,30,,,RM,R,M
90,91,JEURISSEN Damiaan,,NED,Netherlands,271,94,276,84,547,19,29,,,RM,R,M
