,Category Rank,Athlete,Country,18m-1,18m-2,Score,10,9,Event,Division,Class
0,1,REMAR Alen,CRO - Croatia,293/ 4,297/ 1,590,50,10,RM,R,M
1,2,PLIHON Pierre,FRA - France,295/ 1,295/ 4,590,50,10,RM,R,M
2,3,WIJLER Steve,NED - Netherlands,295/ 1,295/ 4,590,50,10,RM,R,M
3,4,UNRUH Florian,GER - Germany,294/ 3,295/ 4,589,49,11,RM,R,M
4,5,BROEKSMA Gijs,NED - Netherlands,291/ 7,296/ 2,587,48,11,RM,R,M
5,6,VAN DER VEN Rick,NED - Netherlands,290/ 8,295/ 3,585,47,11,RM,R,M
6,7,VALLADONT Jean-Charles,FRA - France,293/ 4,292/ 7,585,45,15,RM,R,M
7,8,DE GRANDIS Jocelyn,FRA - France,293/ 4,291/ 8,584,46,12,RM,R,M
8,9,HABJAN MALAVASIC Den,SLO - Slovenia,290/ 8,288/16,578,39,20,RM,R,M
9,10,STRAJHAR Gasper,SLO - Slovenia,289/12,288/15,577,39,19,RM,R,M
10,11,DE SMEDT Jarno,BEL - Belgium,290/ 8,286/18,576,39,18,RM,R,M
11,12,HERLICQ Sam,FRA - France,290/ 8,286/19,576,38,20,RM,R,M
12,13,THIRION Lou,FRA - France,285/17,291/10,576,36,24,RM,R,M
13,14,AUBERT Thomas,FRA - France,286/15,288/14,574,41,14,RM,R,M
14,15,SOULE Quentin,FRA - France,285/16,289/12,574,35,24,RM,R,M
15,16,WILTHAGEN Jonah,NED - Netherlands,283/19,288/13,571,37,19,RM,R,M
16,17,LE BARS Antoine,FRA - France,283/20,287/17,570,32,26,RM,R,M
17,18,DELILLE Ferdinand,FRA - France,289/13,279/23,568,33,23,RM,R,M
18,19,MULOT Florent,FRA - France,283/18,284/21,567,39,17,RM,R,M
19,20,ARNEZ Luka,SLO - Slovenia,278/23,289/11,567,36,16,RM,R,M
20,21,CHABALIER Yoan,FRA - France,279/22,286/19,565,31,24,RM,R,M
21,22,RAVNIKAR Ziga,SLO - Slovenia,269/29,291/ 9,560,42,13,RM,R,M
22,23,PODKRAJŠEK Sergej,SLO - Slovenia,287/14,273/28,560,35,20,RM,R,M
23,24,KLEIN Pit,LUX - Luxembourg,276/24,282/22,558,26,28,RM,R,M
24,25,BLANDIN Thomas,FRA - France,279/21,278/24,557,28,22,RM,R,M
25,26,BIDAULT Jerome,FRA - France,276/25,277/25,553,25,23,RM,R,M
26,27,GUTHERTZ Maxence,FRA - France,272/28,276/26,548,21,29,RM,R,M
27,28,TONNAIRE Hugo,FRA - France,273/27,272/30,545,27,22,RM,R,M
28,29,DUPUIS Emmanuel,FRA - France,269/30,276/27,545,21,27,RM,R,M
29,30,SOLBACH Julien,FRA - France,267/32,273/29,540,15,34,RM,R,M
30,31,DELMAS Denis,FRA - France,265/33,265/31,530,20,21,RM,R,M
31,32,CHOFFAT Valentin,FRA - France,269/31,256/32,525,19,23,RM,R,M
32,33,DUGUÉ Samuel,FRA - France,275/26,241/36,516,19,22,RM,R,M
33,34,COLLING Marc,FRA - France,246/34,247/34,493,16,19,RM,R,M
34,35,LE DISEZ Yann,FRA - France,240/35,249/33,489,13,19,RM,R,M
35,36,GROCHOWALSKI Corentin,FRA - France,236/36,244/35,480,12,14,RM,R,M
36,37,MOLIS Killian,FRA - France,204/40,226/37,430,10,12,RM,R,M
37,38,GOWARD Thomas,FRA - France,225/37,192/38,417,12,14,RM,R,M
38,39,FRONTIERE Dominique,SUI - Switzerland,220/38,185/40,405,6,13,RM,R,M
39,40,GRANJON Herve,FRA - France,216/39,187/39,403,5,17,RM,R,M
40,1,SCHLOESSER Gabriela,NED - Netherlands,294/ 1,287/ 3,581,42,17,RW,R,W
41,2,UNRUH Lisa,GER - Germany,289/ 2,291/ 1,580,40,20,RW,R,W
42,3,UMER Ana,SLO - Slovenia,287/ 3,288/ 2,575,39,17,RW,R,W
43,4,COHENDET Angeline,FRA - France,284/ 4,283/ 6,567,37,15,RW,R,W
44,5,VALTAT Margaux,FRA - France,282/ 5,280/10,562,31,21,RW,R,W
45,6,COMMUNAUDAT Amélie,FRA - France,278/ 6,281/ 9,559,26,27,RW,R,W
46,7,FERS Spela,SLO - Slovenia,276/ 7,282/ 7,558,35,17,RW,R,W
47,8,SEBASTIAN Victoria,FRA - France,274/ 9,284/ 4,558,28,22,RW,R,W
48,9,SLANA Teja,SLO - Slovenia,276/ 7,279/11,555,29,18,RW,R,W
49,10,GONZALEZ Gina,MEX - Mexico,270/14,282/ 8,552,25,25,RW,R,W
50,11,JANGNAS Erika,SWE - Sweden,267/17,284/ 5,551,24,25,RW,R,W
51,12,COUPARD Anael,FRA - France,272/12,276/12,548,22,26,RW,R,W
52,13,VASSEUR Laurie,FRA - France,273/11,271/15,544,22,24,RW,R,W
53,14,KOVACIC Tihana,CRO - Croatia,267/16,274/13,541,32,21,RW,R,W
54,15,LAFAURIE Cecile,FRA - France,271/13,269/16,540,16,30,RW,R,W
55,16,BROUSSE Aurélie,FRA - France,273/10,266/18,539,20,24,RW,R,W
56,17,PESLIER Eugénie,FRA - France,270/15,268/17,538,19,23,RW,R,W
57,18,DE GIULI Valentine,SUI - Switzerland,262/18,272/14,534,17,25,RW,R,W
58,19,CHEVRET Severine,FRA - France,256/19,245/20,501,13,21,RW,R,W
59,20,NEVEU Rozenn,FRA - France,217/20,245/19,462,11,14,RW,R,W
60,1,SCHLOESSER Mike,NED - Netherlands,297/ 4,300/ 1,597,57,3,CM,C,M
61,2,GONTIER Adrien,FRA - France,299/ 1,297/ 5,596,56,4,CM,C,M
62,3,DAMSBO Martin,DEN - Denmark,298/ 3,298/ 2,596,56,4,CM,C,M
63,4,BOULCH Jean Philippe,FRA - France,297/ 4,298/ 2,595,55,5,CM,C,M
64,5,PEINEAU Sebastien,FRA - France,296/ 8,298/ 2,594,54,6,CM,C,M
65,6,GIRARD Nicolas,FRA - France,299/ 1,295/ 8,594,54,6,CM,C,M
66,7,BUDEN Domagoj,CRO - Croatia,296/ 8,294/10,590,50,10,CM,C,M
67,8,JAATMA Robin,EST - Estonia,297/ 4,293/12,590,50,10,CM,C,M
68,9,TOMBUL Alexis,FRA - France,294/11,295/ 8,589,49,11,CM,C,M
